"s","nationality","birthYear"
"http://fr.dbpedia.org/resource/Anca_Petrescu","http://fr.dbpedia.org/resource/Roumanie",1949
"http://fr.dbpedia.org/resource/Anders_Ek","http://fr.dbpedia.org/resource/Suède",1916
"http://fr.dbpedia.org/resource/Andoche_Parthiot","http://fr.dbpedia.org/resource/France",1821
"http://fr.dbpedia.org/resource/Andra_Stevanović","http://fr.dbpedia.org/resource/Serbie",1859
"http://fr.dbpedia.org/resource/Andrea_Branzi","http://fr.dbpedia.org/resource/Italie",1938
"http://fr.dbpedia.org/resource/Andrea_Palladio","http://fr.dbpedia.org/resource/République_de_Venise",1508
"http://fr.dbpedia.org/resource/Andreas_Hallander","http://fr.dbpedia.org/resource/Danemark",1755
"http://fr.dbpedia.org/resource/André_Le_Nôtre","http://fr.dbpedia.org/resource/France",1613
"http://fr.dbpedia.org/resource/André_Ventre","http://fr.dbpedia.org/resource/France",1874
"http://fr.dbpedia.org/resource/Angelo_Mangiarotti","http://fr.dbpedia.org/resource/Italie",1921
"http://fr.dbpedia.org/resource/Angelo_Venturoli","http://fr.dbpedia.org/resource/Italiens",1749
"http://fr.dbpedia.org/resource/Anish_Kapoor","http://fr.dbpedia.org/resource/Royaume-Uni",1954
"http://fr.dbpedia.org/resource/Anne_Torcapel","http://fr.dbpedia.org/resource/Suisse",1916
"http://fr.dbpedia.org/resource/Anselmo_Fernandez","http://fr.dbpedia.org/resource/Portugal",1918
"http://fr.dbpedia.org/resource/Antoine-François_Gancel","http://fr.dbpedia.org/resource/France",1811
"http://fr.dbpedia.org/resource/Antoine-Marie_Chenavard","http://fr.dbpedia.org/resource/France",1787
"http://fr.dbpedia.org/resource/Antoine-Martin_Garnaud","http://fr.dbpedia.org/resource/France",1796
"http://fr.dbpedia.org/resource/Antoine_Salamin","http://fr.dbpedia.org/resource/Suisse",1945
"http://fr.dbpedia.org/resource/Anton_Lembit_Soans","http://fr.dbpedia.org/resource/Estonie",1885
"http://fr.dbpedia.org/resource/Antonin_Louvier","http://fr.dbpedia.org/resource/France",1818
"http://fr.dbpedia.org/resource/Antonio_Manetti","http://fr.dbpedia.org/resource/Italie",1423
"http://fr.dbpedia.org/resource/Antonio_da_Sangallo_le_Jeune","http://fr.dbpedia.org/resource/Italie",1484
"http://fr.dbpedia.org/resource/Armand_Corcelles","http://fr.dbpedia.org/resource/France",1765
"http://fr.dbpedia.org/resource/Arnold_W._Brunner","http://fr.dbpedia.org/resource/États-Unis",1857
"http://fr.dbpedia.org/resource/Arthur_Max","http://fr.dbpedia.org/resource/États-Unis",1946
"http://fr.dbpedia.org/resource/Arthur_Regnault","http://fr.dbpedia.org/resource/Nationalité_française",1839
"http://fr.dbpedia.org/resource/Arto_Sipinen","http://fr.dbpedia.org/resource/Finlande",1936
"http://fr.dbpedia.org/resource/Aubert_Parent","http://fr.dbpedia.org/resource/France",1753
"http://fr.dbpedia.org/resource/August_Boman","http://fr.dbpedia.org/resource/Finlande",1826
"http://fr.dbpedia.org/resource/August_Font_i_Carreras","http://fr.dbpedia.org/resource/Espagne",1846
"http://fr.dbpedia.org/resource/August_Krook","http://fr.dbpedia.org/resource/Finlande",1860
"http://fr.dbpedia.org/resource/August_Sicard_von_Sicardsburg","http://fr.dbpedia.org/resource/Autriche",1813
"http://fr.dbpedia.org/resource/Auguste_Cadet","http://fr.dbpedia.org/resource/Maroc",1881
"http://fr.dbpedia.org/resource/Auguste_Dubet","http://fr.dbpedia.org/resource/France",1829
"http://fr.dbpedia.org/resource/Auguste_Guenepin","http://fr.dbpedia.org/resource/France",1780
"http://fr.dbpedia.org/resource/Auguste_Monvenoux","http://fr.dbpedia.org/resource/France",1827
"http://fr.dbpedia.org/resource/Auguste_Virebent","http://fr.dbpedia.org/resource/France",1792
"http://fr.dbpedia.org/resource/Augustin_Chomel","http://fr.dbpedia.org/resource/France",1857
"http://fr.dbpedia.org/resource/Aulis_Blomstedt","http://fr.dbpedia.org/resource/Finlande",1906
"http://fr.dbpedia.org/resource/Aurelio_Galfetti","http://fr.dbpedia.org/resource/Suisse",1936
"http://fr.dbpedia.org/resource/Axel_Schultes","http://fr.dbpedia.org/resource/Allemagne",1943
"http://fr.dbpedia.org/resource/Baccio_del_Bianco","http://fr.dbpedia.org/resource/Italien",1604
"http://fr.dbpedia.org/resource/Balthazar_Lange","http://fr.dbpedia.org/resource/Norvège",1854
"http://fr.dbpedia.org/resource/Barnabé_Guimard","http://fr.dbpedia.org/resource/France",1739
"http://fr.dbpedia.org/resource/Benito_Casagrande","http://fr.dbpedia.org/resource/Finlande",1942
"http://fr.dbpedia.org/resource/Benjamin_Recordon","http://fr.dbpedia.org/resource/Suisse",1845
"http://fr.dbpedia.org/resource/Benoit_Poncet","http://fr.dbpedia.org/resource/France",1806
"http://fr.dbpedia.org/resource/Benoît-Joseph_Chatron","http://fr.dbpedia.org/resource/France",1822
"http://fr.dbpedia.org/resource/Bernard_Poyet","http://fr.dbpedia.org/resource/France",1742
"http://fr.dbpedia.org/resource/Bertalan_Árkay","http://fr.dbpedia.org/resource/Hongrois",1901
"http://fr.dbpedia.org/resource/Bertel_Jung","http://fr.dbpedia.org/resource/Finlande",1872
"http://fr.dbpedia.org/resource/Bertel_Strömmer","http://fr.dbpedia.org/resource/Finlande",1890
"http://fr.dbpedia.org/resource/Birger_Federley","http://fr.dbpedia.org/resource/Finlande",1874
"http://fr.dbpedia.org/resource/Bodo_Ebhardt","http://fr.dbpedia.org/resource/Allemagne",1865
"http://fr.dbpedia.org/resource/Bogdan_Nestorović","http://fr.dbpedia.org/resource/Serbie",1901
"http://fr.dbpedia.org/resource/Borhene_Dhaouadi","http://fr.dbpedia.org/resource/Tunisie",1980
"http://fr.dbpedia.org/resource/Boris_Bernaskoni","http://fr.dbpedia.org/resource/Russe",1977
"http://fr.dbpedia.org/resource/Borja_Huidobro","http://fr.dbpedia.org/resource/Chili",1936
"http://fr.dbpedia.org/resource/Branislav_Kojić","http://fr.dbpedia.org/resource/Serbie",1899
"http://fr.dbpedia.org/resource/Brian_Clarke","http://fr.dbpedia.org/resource/Royaume-Uni",1953
"http://fr.dbpedia.org/resource/Brigitte_Métra","http://fr.dbpedia.org/resource/France",1954
"http://fr.dbpedia.org/resource/Bruno_Granholm","http://fr.dbpedia.org/resource/Finlande",1857
"http://fr.dbpedia.org/resource/Bruno_Taut","http://fr.dbpedia.org/resource/Allemagne",1880
"http://fr.dbpedia.org/resource/Burton_Jastram","http://fr.dbpedia.org/resource/États-Unis",1910
"http://fr.dbpedia.org/resource/Camille_Albert","http://fr.dbpedia.org/resource/France",1852
